Patient,ROI,Patient-ROI,Image,RNA,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Subcellular cluster: DAB object,Num Subcellular spot: DAB object,Area µm^2,Perimeter µm
2384-1,1,2384-1_1,2384-1_1_DapB.jpg,DapB,Necrosis,Necrosis,Image,Polygon,674.57,743.78,198,2,52,147280.1,1796.6
2384-1,1,2384-1_1,2384-1_1_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,751.68,277.8,442,6,63,36520.2,764.64
2384-1,1,2384-1_1,2384-1_1_DapB.jpg,DapB,Lymph,Lymph,Image,Rectangle,1205,24.48,56,0,2,5253.1,321.6
2384-1,1,2384-1_1,2384-1_1_DapB.jpg,DapB,Immune cells,Immune cells,Image,Polygon,701.52,633.37,7011,62,1106,1240938.1,4193.5
2384-1,1,2384-1_1,2384-1_1_IFNG.jpg,IFNG,Necrosis,Necrosis,Image,Polygon,670.3,751.47,225,10,59,166896.4,1920
2384-1,1,2384-1_1,2384-1_1_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,781.92,370.8,254,4,65,23650.1,615.36
2384-1,1,2384-1_1,2384-1_1_IFNG.jpg,IFNG,Lymph,Lymph,Image,Rectangle,1225.3,47.16,107,1,15,14167.9,493.44
2384-1,1,2384-1_1,2384-1_1_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,758.59,644.57,7838,240,1790,1363611.3,4512.3
2384-1,1,2384-1_1,2384-1_1_TGFB.jpg,TGFB,Necrosis,Necrosis,Image,Polygon,688.44,766.23,908,39,647,183844.8,2245.8
2384-1,1,2384-1_1,2384-1_1_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,781.92,370.8,1273,111,991,23650.1,615.36
2384-1,1,2384-1_1,2384-1_1_TGFB.jpg,TGFB,Lymph,Lymph,Image,Rectangle,1207.4,37.44,200,15,120,8809.6,419.52
2384-1,1,2384-1_1,2384-1_1_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,760.3,655.71,26692,2041,17762,1438766.8,4429.1
2384-1,1,2384-1_1,2384-1_1_UBC.jpg,UBC,Lymph,Lymph,Image,Rectangle,1225.4,42.12,1632,754,756,12657.1,510.24
2384-1,1,2384-1_1,2384-1_1_UBC.jpg,UBC,Necrosis,Necrosis,Image,Polygon,696.94,757.15,4459,1942,2299,168500.5,2001.1
2384-1,1,2384-1_1,2384-1_1_UBC.jpg,UBC,Immune cells,Immune cells,Image,Polygon,734.2,643.04,135399,59478,70175,1236644.5,4235.3
2384-1,1,2384-1_1,2384-1_1_UBC.jpg,UBC,Mac,Mac,Image,Rectangle,810.24,353.64,7019,2659,4172,22896.6,605.28
2384-1,2,2384-1_2,2384-1_2_DapB.jpg,DapB,Immune cells,Immune cells,Image,Rectangle,428.04,404.16,5510,108,1296,688699.2,3321.1
2384-1,2,2384-1_2,2384-1_2_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,357.36,463.44,101,2,29,14511.7,485.76
2384-1,2,2384-1_2,2384-1_2_DapB.jpg,DapB,Lymph,Lymph,Image,Rectangle,171.48,453.6,64,0,2,7556.7,372.96
2384-1,2,2384-1_2,2384-1_2_IFNG.jpg,IFNG,Lymph,Lymph,Image,Rectangle,184.08,405.12,49,2,8,5812.5,317.76
2384-1,2,2384-1_2,2384-1_2_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Rectangle,428.04,404.16,5743,109,1488,688699.2,3321.1
2384-1,2,2384-1_2,2384-1_2_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,336.48,515.88,99,1,26,16138.1,515.04
2384-1,2,2384-1_2,2384-1_2_TGFB.jpg,TGFB,Lymph,Lymph,Image,Rectangle,205.32,429.84,172,4,117,7636.5,355.68
2384-1,2,2384-1_2,2384-1_2_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,371.52,551.76,231,11,167,14511.7,485.76
2384-1,2,2384-1_2,2384-1_2_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Rectangle,428.04,404.4,10039,241,6038,688288.3,3320.2
2384-1,2,2384-1_2,2384-1_2_UBC.jpg,UBC,Lymph,Lymph,Image,Rectangle,185.88,431.76,784,341,399,6111.7,315.36
2384-1,2,2384-1_2,2384-1_2_UBC.jpg,UBC,Mac,Mac,Image,Rectangle,327.12,566.04,1145,549,554,10956.2,420.96
2384-1,2,2384-1_2,2384-1_2_UBC.jpg,UBC,Immune cells,Immune cells,Image,Rectangle,428.52,413.04,67238,27539,35874,702293,3352.8
2384-1,3,2384-1_3,2384-1_3_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,723.24,314.16,110,0,15,17279.3,532.32
