Vimentin,SMA,Collagen_1,Lag3,CD4,CD14,Foxp3,PD_1,CD31,PD_L1,E_cadherin,Ki67,CD209,CD206,gdTCR,iNOS,CD68,CD36,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA_DR_DQ_DP,CD11b,CD45,H3K9Ac,Keratin_pan,CD103,MastChyTry,MPO,NaKATPase,HLA_Class_1
4.1106,-0.80833,-1.0359,1.1095,4.2894,1.6102,1.3587,1.2956,-1.1201,0.82336,-0.46376,0.51687,-1.9633,0.48291,-0.30594,-0.95658,-0.76733,-1.7672,3.2546,4.8706,2.915,2.2714,0.89521,3.0447,-0.11757,0.37477,1.4841,0.96057,3.2673,0.81338,0.35191,0.72051,-0.4648,0.60024,4.204,0.51098
-0.79905,23.67,5.0466,1.8999,2.4637,0.25683,1.0363,1.6598,5.1706,-4.3041,-2.4048,-0.3226,6.2811,-2.3072,4.6749,2.1681,-3.812,7.05,4.9371,3.9141,-3.3699,-6.8298,4.8521,2.6364,4.8431,0.69358,-0.59357,-2.6187,-0.93631,-0.86206,1.8246,9.7536,0.95759,3.9488,-0.52881,-1.8311
-1.0294,5.0512,18.284,2.0299,1.0725,-0.37418,0.46297,-1.0463,0.33962,-5.8322,-2.7716,-0.23303,1.3954,-5.1879,0.7268,-1.0542,-6.0204,1.0356,4.7189,2.6063,-4.1481,-8.15,1.8927,-1.7578,1.8875,-1.1149,-2.3788,-4.5171,-1.9977,-1.4415,-0.15016,3.971,-0.6816,2.202,-0.72301,-1.9197
1.0994,1.952,2.0432,18.083,5.3956,2.1331,6.4573,5.6709,1.8528,1.276,-0.45614,2.5933,0.20937,4.2578,0.73385,1.5963,-0.18542,1.0581,3.4325,4.0944,1.0311,1.2317,3.1896,0.66537,1.5006,1.564,3.2405,1.6565,1.7069,0.8749,0.92229,2.6444,-0.46615,-0.51457,0.55146,-0.19336
4.3912,2.4503,0.99841,5.3872,18.056,6.6296,5.3856,5.6149,-1.2005,7.0353,-0.25213,4.4913,0.44531,4.0368,2.2535,-0.34524,0.47846,-1.1751,9.1154,14.594,7.3784,8.0279,5.2782,7.1979,2.1598,1.8797,5.3963,4.8496,9.1835,3.8739,1.9696,5.8109,-0.51192,0.10418,8.3758,2.0449
1.5512,0.33728,-0.43849,2.0861,6.6178,12.674,1.9604,1.4588,-3.5424,10.144,-2.8226,1.9866,2.9209,8.3099,3.2564,0.86811,5.2473,-2.5762,2.5089,3.8116,8.9051,10.945,3.2873,-4.0833,4.676,0.80466,1.7112,8.2033,2.7174,-0.56497,-2.1547,3.5272,-0.2837,-0.44461,5.246,-1.2939
1.425,1.0504,0.44665,6.4622,5.5659,1.9971,9.1235,4.3864,0.31082,1.6487,-0.50877,2.192,-0.96355,1.8339,0.82492,0.30585,-1.0975,-0.51391,2.6452,4.9707,2.4416,0.70539,2.4836,1.3087,1.7717,1.27,1.0404,1.3812,2.3811,1.1631,0.60902,1.7458,-0.58337,0.0068641,0.99453,0.18217
1.2258,1.6231,-1.0246,5.5006,5.5375,1.4377,4.6125,14.537,0.88064,0.83889,-1.4415,3.0914,-0.82058,1.8992,1.9508,0.013911,-1.269,-0.27811,3.4334,5.0515,1.5436,0.7569,3.3057,3.252,1.3625,0.66424,1.084,0.97373,3.0577,1.5281,-1.2525,-0.26124,-0.73215,0.028848,0.62183,0.4548
-1.1023,5.1736,0.31334,1.8899,-1.1814,-3.6007,0.40734,1.0411,17.917,-8.1607,3.019,-1.0581,-0.16262,-5.1976,-0.092536,1.1657,-6.7514,10.775,1.4332,0.40927,-6.7672,-10.247,1.7759,-0.39704,-0.12701,0.44976,-2.3054,-6.6898,-2.488,-0.51168,1.1714,-0.18544,2.6195,4.3933,-2.0166,-1.6887
0.8101,-4.5177,-5.8948,1.2827,7.0725,10.151,1.6759,0.82267,-8.2008,29.518,-1.2383,2.1607,0.64787,16.889,3.302,2.6388,14.5,-4.7927,-1.7376,1.211,17.696,25.194,0.33395,-5.0184,5.0063,0.34619,4.4382,19.628,3.2912,-2.0311,-2.2442,4.4902,-2.5754,-2.2104,6.7166,-1.6359
-0.46516,-2.3396,-2.7742,-0.48527,-0.21861,-2.78,-0.52519,-1.4801,3.0722,-1.2275,17.275,-1.0604,-3.7047,-2.5136,-0.81339,2.3445,-1.565,2.0004,-1.033,-0.60638,-0.35703,-0.93639,0.065759,-0.12309,-1.512,4.2029,1.3575,-1.6846,-1.423,-0.067325,15.037,2.3329,0.19365,0.087481,2.3673,-0.78322
0.55193,-0.34223,-0.2231,2.5338,4.5503,1.9784,2.225,3.0732,-1.1001,2.1372,-1.1462,12.317,-1.2937,-0.32423,1.0695,-0.83777,-0.57174,-1.2932,1.8483,3.7426,2.9109,2.5936,1.3452,1.2601,1.9298,0.66215,0.84069,2.4292,2.6495,1.0394,-0.11553,1.4516,-1.2971,0.60643,1.4347,0.49618
-1.9976,6.0877,1.3176,0.20789,0.43075,2.8514,-0.93224,-0.88809,-0.20495,0.56302,-3.6857,-1.3051,19.663,8.1714,3.2771,2.3263,4.1305,0.95681,-0.74142,-0.8764,-1.1366,3.2814,2.4297,-3.765,2.6492,-0.0047838,-1.8325,3.6422,-2.2129,-2.4606,-2.244,1.999,0.86585,2.1281,-1.4576,-2.535
0.48471,-2.3557,-5.2225,4.4009,3.8992,8.1234,1.9456,1.9374,-5.2002,16.923,-2.5294,-0.35011,8.4272,27.266,0.91608,2.8549,13.835,-4.2485,-3.461,-0.74939,9.3675,18.874,-0.17306,-7.931,1.4091,0.8892,2.2453,18.398,0.72719,-2.3877,-3.269,1.2044,-1.0669,-1.6484,3.928,-3.3809
-0.29614,4.6905,0.69842,0.70452,2.2948,3.3099,0.83798,1.9876,-0.14937,3.3229,-0.76103,1.0939,3.2342,0.91948,13.195,3.9179,1.4809,1.9433,2.1993,2.3195,2.8885,2.8074,3.0041,0.075126,1.9362,-0.29401,0.58805,2.1305,0.22937,-0.44444,1.4357,6.6942,-0.075374,0.69121,0.70587,-0.58337
-0.94803,2.2005,-1.0315,1.559,-0.35932,0.89744,0.29958,-0.0047381,1.0974,2.6541,2.3579,-0.83016,2.2001,2.8035,3.8777,14.645,2.7869,5.5753,0.2745,-0.85351,0.091829,1.2053,1.5485,-1.6812,1.8584,0.67892,-0.010337,1.2924,-1.831,-1.4272,1.2675,3.1219,0.92852,0.58674,0.71163,-1.5268
-0.72013,-3.8782,-6.0534,-0.19984,0.49298,5.2942,-1.1133,-1.2628,-6.742,14.434,-1.5974,-0.59013,4.0485,13.734,1.4351,2.8656,20.613,-3.3284,-4.4823,-2.9722,7.4424,16.513,-1.4824,-7.1181,1.1155,0.29204,1.968,15.209,-0.66509,-3.3164,-1.488,2.1232,-1.7488,-1.9675,2.838,-3.0833
-1.7616,7.1867,1.0435,1.0449,-1.1867,-2.6095,-0.48935,-0.31659,10.791,-4.7602,1.73,-1.3087,0.94469,-4.3177,1.929,5.5747,-3.3811,19.121,1.6092,-0.16346,-5.4146,-8.154,2.6419,-1.3012,0.63236,0.43215,-0.6471,-4.6559,-3.5169,-1.9057,1.6661,1.4379,1.5233,2.9983,-0.95167,-2.0667
3.3323,4.9404,4.7145,3.426,8.9884,2.4292,2.6185,3.3057,1.4776,-1.8391,-1.07,1.8683,-0.78293,-3.493,2.2056,0.27462,-4.4654,1.6037,19.52,13.917,1.1443,-2.9205,5.2483,8.2699,2.8829,0.584,3.4742,-2.5887,5.6108,3.6999,1.4995,6.596,0.34073,1.1524,5.5671,3.0052
