cell_cluster_nimbus,ECAD,CK17,CD45,CD3,CD4,CD8,FOXP3,CD20,CD56,CD68,CD163,CD14,CD11c,HLADR,ChyTr,Vim,Calprotectin,FAP,Fibronectin,Collagen1,CD31,SMA
Cancer,0.5575508506725438,0.10561352114184046,0.047729253380462175,0.028702635259712044,0.04051410766232643,0.027898461650817136,0.026290973930080206,0.02541542904408942,0.05302239274450425,0.029490742003977742,0.029547564178202878,0.046498978716031605,0.03222467304975924,0.07611536502315056,0.026228339727045507,0.11195375241766893,0.027400570741573295,0.041447702725902584,0.039980111824152356,0.05300857359762256,0.02652846173505327,0.04081292559022463
Cancer Other,0.06491471190042727,0.04431768081543052,0.03617674722569955,0.028158062511734066,0.034896377902787566,0.02718393390635485,0.027437832636107464,0.02597182913615991,0.030127727893377077,0.02923457937477562,0.028544365218667104,0.03290414750148112,0.028113912522651566,0.03037296502022089,0.025547013068208113,0.049675640838427966,0.027575814041128837,0.03259333104572508,0.030238491090710366,0.042608457439863384,0.02820611731136261,0.03502150332042452
CD4T,0.07546869569718286,0.028922060152912904,0.639306387291016,0.46853649679461823,0.6110136524220134,0.060380585368530894,0.027260514491388308,0.05703953535179603,0.028604575832689355,0.04005815514692045,0.05912542671615747,0.13029395422788662,0.05486661393236474,0.09353914900415791,0.025786571187473892,0.23742399283486196,0.026500236970468324,0.18965176176026405,0.0817925374093465,0.23684184060384078,0.043288328098475555,0.07907131243949093
CD8T,0.1120663064360131,0.03328906942152127,0.6736457681315683,0.4626536288479875,0.27008968151563273,0.5887351551800009,0.02972949239582501,0.05356825581979881,0.03051034441975181,0.04459505394492724,0.10737843474805395,0.18521980344741157,0.06609109876152115,0.15813540528642267,0.02586228793567647,0.3203489659718088,0.02621361990420975,0.15459327368131584,0.0770296144712306,0.18198098336059257,0.04924109629608767,0.06453083573348216
Treg,0.10872743026407243,0.03371338396586077,0.6574693496987188,0.5184746619095688,0.6393208304392093,0.06412793692534671,0.2687513800197806,0.058450405350985786,0.040891591664506864,0.04256387047546299,0.06920229828962941,0.1195962473098262,0.06300658978940657,0.09554254260247455,0.029580816074981593,0.2521240864382645,0.026884031861796276,0.20205249603740388,0.07604505209162273,0.19887115250939613,0.04132977354259875,0.08030661882763328
Immune Other,0.04405736748369069,0.027535214041952773,0.4377565597182269,0.16327307198939736,0.1989982045639725,0.08069361937349992,0.03008364576465531,0.05429356212686519,0.03070942585363553,0.04035678913870362,0.059621717583986676,0.09970427771794423,0.04365521350281668,0.14235718819761722,0.02529055057719074,0.1280821340684201,0.03452815440114916,0.0898419235878216,0.05127848254497597,0.18985936732205658,0.044180452986881676,0.04263827513132556
B,0.05866852896990126,0.025659253113492573,0.670371336525371,0.31003823055887847,0.36200820190427196,0.1609600657109482,0.03220376349972444,0.6454192100052019,0.026770435039356628,0.03354679818339411,0.0531164444341907,0.08499213867720044,0.07170908015934781,0.2617563374967443,0.02489460918181468,0.19597495574942086,0.02544823389693656,0.0746437882719642,0.04107560287217816,0.10047976411321882,0.035279128122641265,0.0393442751473699
NK,0.536653684599916,0.04691839782730578,0.4749825984785655,0.046706033000969344,0.2604293170530932,0.03602362901204257,0.03178890192896183,0.03283204341982393,0.43736036344764223,0.10158169647701171,0.1076534523247146,0.6652054746137804,0.07808155079847234,0.14618114096834414,0.029117838038228795,0.25185568919816764,0.03069903401388636,0.08850108949003745,0.04757001537859555,0.08575543751715711,0.04718301678824432,0.04147436897678064
Macrophage,0.0970476937070607,0.031413597434687066,0.41343501254523546,0.09825475223668124,0.3106639302766753,0.05407676551828323,0.028009707025921794,0.048916462859003966,0.03579007659372718,0.23497764675859759,0.5084268547357379,0.49491304884181814,0.10796091475080302,0.293791740300497,0.031220177458052358,0.36429853998757045,0.03922948380930011,0.2173841532444379,0.13320727353088554,0.2709632624661871,0.058205638803582024,0.08083269881074455
Monocyte,0.1312062090319932,0.032346336708113065,0.4008844806702705,0.05616061231035548,0.1870155562918393,0.046528737780449525,0.027721431443846388,0.032713145597138525,0.02931791167207084,0.06819832538272669,0.12073682393433434,0.4839241274240968,0.062147145171764596,0.11244594941566728,0.026792684199782462,0.2122936428772317,0.033645965876720196,0.16997702007585394,0.06262588684169883,0.19834601804226717,0.04877215019000465,0.058623391151309344
APC,0.10348161383953162,0.030372834890961358,0.47866171816464714,0.11145621057955635,0.34713104624418156,0.05746921475120656,0.029163817515871677,0.05828382890552039,0.032682978239659426,0.09459544918316355,0.11281386049328716,0.26512989516960395,0.1815346616909465,0.5483762853244493,0.027495892031109515,0.31632848175960476,0.03476363660751495,0.21906842110067623,0.09581521865684701,0.23324463417344216,0.055357640761192706,0.07552937112721245
Mast,0.5218837749272026,0.03169190201113903,0.17862101889588472,0.04074137897823828,0.12105629598233383,0.0417599351056757,0.08609595991703288,0.04238672577306323,0.03242245947228209,0.05072907788373032,0.0803474987687956,0.10858194070521963,0.035198416534048975,0.06621152241459322,0.6624833265968977,0.5892482989169765,0.04557572355123517,0.24292659081561588,0.07910451696654214,0.39109937648050036,0.04159511214589175,0.06718334645537456
Neutrophil,0.37558048138094324,0.033770374666136985,0.28797792902529334,0.03150924741539994,0.13441900046365626,0.029978716277986865,0.026886291592420588,0.04725369816698662,0.028130838110075964,0.03440462041850788,0.04193097698485192,0.11735885705296784,0.03847286889140494,0.03691438196378813,0.03165240776655376,0.26769079758774816,0.5961759057298873,0.08629839517076972,0.08555577369267349,0.08259230038265812,0.03746090696724793,0.04592888291658652
CAF,0.1801911641344022,0.03367455249560204,0.1333551135659016,0.03521004943996878,0.053882904507086694,0.03582103483914426,0.02834002747088545,0.03047489797999516,0.030190036588981378,0.039873705599604806,0.04460538852107162,0.07679525440485543,0.034348140966045,0.05662139283169276,0.02822578235520623,0.269423586861862,0.029421211563253627,0.5016119865794676,0.16815715147478671,0.4223403617741021,0.041523398077021295,0.2769417687947492
Fibroblast,0.10241380188693731,0.03203341148991886,0.1296866252176971,0.03858818683448089,0.06939706984382543,0.034578587649281005,0.02651476389239927,0.03149748850248565,0.03349029382918669,0.04180147516650096,0.04202330245479425,0.08945546798716097,0.034738145890731625,0.05193809593654924,0.02698655793537389,0.28835900098682543,0.03061118282404149,0.17642779866283073,0.25914423920121227,0.39605681383170555,0.04265429803638471,0.08053402872167295
Endothelium,0.058466985333911786,0.026980130309433865,0.16885293492750364,0.03511280900006299,0.054875182061772575,0.03413186528858022,0.02698553292273717,0.05553391227064771,0.029264204138645573,0.034962375255972934,0.04527282196476133,0.08888385164620877,0.032468690601749214,0.05419411399700083,0.026152577501854207,0.40668919054572295,0.027777247665674458,0.15179304832682086,0.1390902473997778,0.21522688450587643,0.5446606363759714,0.17994137904207383
Smooth Muscle,0.25413068211410406,0.12517039780238898,0.05906521832028711,0.030240362566403643,0.04039773085505928,0.02972038035832641,0.025761001659527084,0.02727302893079687,0.032234740937056305,0.032907173621104464,0.03608620104441879,0.05396059743629607,0.03036634774106414,0.044866743236122615,0.026535754811379562,0.23124744361031604,0.028165833354833372,0.09089981055515658,0.07045620909836374,0.21117740386305034,0.04558394548045349,0.5197995186215651
