cell_meta_cluster,ECAD,KRT15,KRT81,KRT7,KRT6CB,KRT23,KRT14,SMA,CD45,CD3e,CD4,CD8,FOXP3,CD68,CD163,CD206,CD209,CD14,CD11c,HLADR,ChyTr,COL1A1,Calprotectin,CD31
Epithelial KRT15+,0.9017358236029767,0.9035935323488368,0.8706130632914809,0.7299259714265549,0.03854925744495866,0.1401828298068407,0.06871417922641627,0.03904586367262175,0.042746297271959804,0.03165397111469737,0.22450758392773623,0.08832216994859617,0.024928065750082103,0.03920702685918441,0.030113750544022603,0.03023075546985441,0.035006163310255904,0.03658356855030292,0.030870549773898998,0.05724268654226545,0.031154367499441372,0.16677537030258208,0.03926438929182775,0.03139185225997398
Epithelial KRT7+ KRT81+,0.9113211374530221,0.057804537487649445,0.8750259631620732,0.6562444122163827,0.03969822736208487,0.12367346946457433,0.05130110983986454,0.035332148112394476,0.039324979667707066,0.031035024184512476,0.12136579019371259,0.03175419124808784,0.025070675594594923,0.03340190051166821,0.030300261585623812,0.029801112841165718,0.035001024476824044,0.03277819405323282,0.030957795080611587,0.061085637082103,0.031215077682899214,0.15284185428313515,0.03859070984831637,0.031093800599752273
Epithelial,0.725620827160048,0.2316525636070943,0.1797817136324292,0.3817120817382185,0.05429673674800413,0.07567504275558413,0.08079441727375535,0.04420076339316361,0.06806478044923978,0.03455687784920827,0.08027680680985258,0.034434578737182794,0.025561620701191085,0.039990519464442,0.033096154770735575,0.03062617404386158,0.035118598210101486,0.055205238144115966,0.03606028450246788,0.060242757830755986,0.03186534772603923,0.10587727320083068,0.03561662877783515,0.03279470794378577
Myoepithelial,0.6326939070270855,0.1770960969409157,0.36149538050834185,0.36826016326858135,0.07393969212769118,0.13589777144718873,0.15863520329248645,0.7750931332906682,0.10162249717469954,0.043935219854380723,0.11590752377014014,0.04152132209484315,0.025194868056369314,0.04548932477021386,0.03351432270621956,0.03472831989243166,0.03490939374839819,0.043865386048529166,0.03511052886288217,0.08492988078466891,0.03156137706195538,0.2235578689320665,0.034500252733033886,0.037931762050927194
CD4T,0.0530304870979204,0.032413694026220505,0.05245463824339404,0.032632087719464443,0.050221787964462625,0.13273181472257972,0.049345036049654574,0.047702893957299465,0.8864354490121554,0.8669198097253793,0.817109915677778,0.10621535675482992,0.029696771871372967,0.0608630475259694,0.06050506535034342,0.06376929315590292,0.03532958737283172,0.09419458195770967,0.2000541412702872,0.3889663702721732,0.032823380101222106,0.20040711153070806,0.03389851001478583,0.04994631761026944
CD8T,0.05339216422331346,0.030240540873713664,0.04399807081883735,0.047101952235711946,0.03846195473934343,0.0971106693377223,0.05738515405280046,0.045223575002560246,0.8833246094585915,0.8585000478822368,0.393164082208501,0.8587854133463804,0.02559884945950693,0.04566019233213725,0.05435183160465914,0.05313237914506432,0.03537172316016438,0.06845098558591836,0.1199270024502871,0.2526610738309737,0.0331696977681704,0.20384767529610484,0.0324886961022753,0.05764464165683397
Tregs,0.5100025166398527,0.05587978543593643,0.4589356218927477,0.14923797300006447,0.1281822086716912,0.35289494113755315,0.07016719817437547,0.04520479825075229,0.766138684179391,0.782562713978851,0.9087343874111284,0.0674607748779281,0.7880591741688654,0.2622815489494,0.38323212684901103,0.4243212267755347,0.04804505935261163,0.4239778188133855,0.1060837624674348,0.35926385118578524,0.43651255579555065,0.5928108086331273,0.06987565387002512,0.042933590170380606
T Other,0.03484605722737132,0.028711165215145853,0.03256815062610986,0.02965772419855488,0.03554534288783198,0.04873121461712891,0.03421392906478484,0.0446205725616091,0.8598173374284206,0.8131681524437577,0.16485617643638711,0.052046979912712184,0.02714368889240689,0.03681781159479177,0.03628426447732482,0.03867408693173206,0.03491037640396571,0.04973024223425839,0.07013377144328482,0.20213461772813043,0.03168017155439286,0.16501194757240326,0.031283787117616854,0.049284092873413836
Immune other,0.0401352746522908,0.031308231215590746,0.045338812055413465,0.030381809101787977,0.04126769927486854,0.07179778462169215,0.03353502628045762,0.041832836804089925,0.7871731103932921,0.04903860354753439,0.0488167368798127,0.04636566162653949,0.025028221857571274,0.044418106900285005,0.03428882405567753,0.04455074404718006,0.03498092902326192,0.044421528199063656,0.05646839776866493,0.057863014926860246,0.033707746378997816,0.09216434944437361,0.05521600590792446,0.04101662486308761
Mono/Mac CD206+,0.16855655139570042,0.04521203562865656,0.1163387838258244,0.06239593946738376,0.058781881640219774,0.15342359635704877,0.03851558868897911,0.05914324834941491,0.546018200917832,0.113777481098299,0.34373892060960376,0.056246325140376315,0.027123939862965428,0.4406721975466222,0.5886846006333911,0.6082041543226635,0.05041214561701079,0.4377388806416786,0.1310744592386216,0.4727764191238037,0.03573368283368943,0.4329220547488474,0.0568761812243423,0.051247308208075264
